,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
0,2011,2011,NV,Nevada,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,37.9,37.9,,,34.9,48.3,511,,,,,"$25,000 - $34,999",,"(39.49324039, -117.071840564)",OWS,OWS1,Q036,VALUE,32,Income,"$25,000 - $34,999",INC,INC2535
1,2022,2022,MO,Missouri,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,26.3,26.3,,,21.3,27.2,841,,25 - 34,,,,,"(38.635790776000476, -92.56630005299968)",OWS,OWS1,Q037,VALUE,29,Age (years),25 - 34,AGEYR,AGEYR2534
2,2019,2019,VA,Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,27.5,27.5,,,22.8,32.8,509,,,,,"Less than $15,000",,"(37.54268067400045, -78.45789046299967)",OWS,OWS1,Q037,VALUE,51,Income,"Less than $15,000",INC,INCLESS15
3,2013,2013,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,47.6,47.6,,,45.8,49.1,516,,,Less than high school,,,,"(41.708280193, -71.522470314)",OWS,OWS1,Q037,VALUE,44,Education,Less than high school,EDU,EDUHS
4,2019,2019,ID,Idaho,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,48.7,48.7,,,20.3,55.5,2478,,,,Female,,,"(43.682630005000476, -114.3637300419997)",PA,PA1,Q044,VALUE,16,Gender,Female,GEN,FEMALE
5,2013,2013,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,47.8,47.8,,,36.1,51.6,955,,,,,"$50,000 - $74,999",,"(44.393191174, -89.816370742)",OWS,OWS1,Q036,VALUE,55,Income,"$50,000 - $74,999",INC,INC5075
6,2021,2021,AL,Alabama,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,32.7,32.7,,,29,37.8,2854,,,,,,Non-Hispanic White,"(32.84057112200048, -86.63186076199969)",FV,FV1,Q018,VALUE,1,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
7,2017,2017,IN,Indiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,33.9,33.9,,,30.4,34.1,968,,,Less than high school,,,,"(39.766910452, -86.149960194)",OWS,OWS1,Q037,VALUE,18,Education,Less than high school,EDU,EDUHS
8,2013,2013,NE,Nebraska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,23.8,23.8,,,20.1,23.8,5365,,,High school graduate,,,,"(41.641040988001, -99.365720623)",PA,PA1,Q047,VALUE,31,Education,High school graduate,EDU,EDUHSGRAD
9,2013,2013,ID,Idaho,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,44.2,44.2,,,31.4,46,74,,,,,,2 or more races,"(43.682630005, -114.363730042)",OWS,OWS1,Q037,VALUE,16,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
10,2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,35.2,35.2,,,26.4,46,1070,,55 - 64,,,,,"(34.748650124, -92.274490743)",PA,PA1,Q047,VALUE,5,Age (years),55 - 64,AGEYR,AGEYR5564
11,2014,2014,UT,Utah,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,40.6,40.6,,,32.3,46.5,12267,,,,,,Non-Hispanic White,"(39.360700171, -111.587130635)",OWS,OWS1,Q037,VALUE,49,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
12,2011,2011,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,38.4,38.4,,,26.7,43.4,825,,,,,"$35,000 - $49,999",,"(43.655950113, -71.50036092)",OWS,OWS1,Q036,VALUE,33,Income,"$35,000 - $49,999",INC,INC3550
13,2011,2011,IL,Illinois,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,26.6,26.6,,,22.6,33.4,986,,45 - 54,,,,,"(40.485010283, -88.997710178)",PA,PA1,Q043,VALUE,17,Age (years),45 - 54,AGEYR,AGEYR4554
14,2015,2015,UT,Utah,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,18.5,18.5,,,18.9,18.5,88,,,,,,2 or more races,"(39.360700171, -111.587130635)",PA,PA1,Q044,VALUE,49,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
15,2017,2017,ND,North Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,23.8,23.8,,,23,33.2,2100,,,Some college or technical school,,,,"(47.475319779, -100.118421049)",OWS,OWS1,Q036,VALUE,38,Education,Some college or technical school,EDU,EDUCOTEC
16,2017,2017,AZ,Arizona,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,24,24,,,22.5,24.9,3624,,,,,"$75,000 or greater",,"(34.86597028, -111.763811277)",PA,PA1,Q045,VALUE,4,Income,"$75,000 or greater",INC,INC75PLUS
17,2013,2013,ID,Idaho,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,52.3,52.3,,,33.6,54.6,5051,Total,,,,,,"(43.682630005, -114.363730042)",PA,PA1,Q045,VALUE,16,Total,Total,OVR,OVERALL
18,2011,2011,ID,Idaho,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,19.6,19.6,,,19.8,19.5,500,,25 - 34,,,,,"(43.682630005, -114.363730042)",PA,PA1,Q047,VALUE,16,Age (years),25 - 34,AGEYR,AGEYR2534
19,2020,2020,WV,West Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,37.4,37.4,,,23.5,39.6,481,,,Less than high school,,,,"(38.66551020200046, -80.71264013499967)",OWS,OWS1,Q037,VALUE,54,Education,Less than high school,EDU,EDUHS
20,2019,2019,NE,Nebraska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,36,36,,,33.4,44.8,1078,,,,,"Less than $15,000",,"(41.6410409880005, -99.36572062299967)",PA,PA1,Q044,VALUE,31,Income,"Less than $15,000",INC,INCLESS15
21,2017,2017,KY,Kentucky,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,18.8,18.8,,,19.6,18.1,2534,,65 or older,,,,,"(37.645970271, -84.774971048)",PA,PA1,Q046,VALUE,21,Age (years),65 or older,AGEYR,AGEYR65PLUS
22,2022,2022,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.7,27.7,,,26.6,30.2,1192,,45 - 54,,,,,"(34.865970280000454, -111.76381127699972)",OWS,OWS1,Q036,VALUE,4,Age (years),45 - 54,AGEYR,AGEYR4554
23,2016,2016,KS,Kansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,46.5,46.5,,,38.5,55.2,1142,,25 - 34,,,,,"(38.3477403, -98.200781227)",OWS,OWS1,Q036,VALUE,20,Age (years),25 - 34,AGEYR,AGEYR2534
24,2015,2015,WA,Washington,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,25.2,25.2,,,20.5,26.4,4554,,,Some college or technical school,,,,"(47.522278629, -120.47001079)",PA,PA1,Q047,VALUE,53,Education,Some college or technical school,EDU,EDUCOTEC
25,2017,2017,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,28.8,28.8,,,22.6,40.2,57,,,,,,2 or more races,"(44.393191174, -89.816370742)",PA,PA1,Q047,VALUE,55,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
26,2018,2018,IN,Indiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,51,51,,,32.5,53.5,478,,,,,"Less than $15,000",,"(39.766910452000445, -86.14996019399968)",OWS,OWS1,Q037,VALUE,18,Income,"Less than $15,000",INC,INCLESS15
27,2021,2021,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.3,30.3,,,29.6,32,9679,Total,,,,,,"(34.865970280000454, -111.76381127699972)",OWS,OWS1,Q036,VALUE,4,Total,Total,OVR,OVERALL
28,2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,18.8,18.8,,,19.2,18.7,62562,,,,,"$50,000 - $74,999",,,OWS,OWS1,Q036,VALUE,59,Income,"$50,000 - $74,999",INC,INC5075
29,2011,2011,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,53.3,53.3,,,27.1,59.3,3020,,,,,"$15,000 - $24,999",,"(42.27687047, -72.082690675)",OWS,OWS1,Q037,VALUE,25,Income,"$15,000 - $24,999",INC,INC1525
30,2014,2014,MD,Maryland,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,39.8,39.8,,,38.8,44.2,2327,,,,,,Non-Hispanic Black,"(39.290580964, -76.609260111)",OWS,OWS1,Q036,VALUE,24,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
31,2014,2014,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,28.7,28.7,,,20.9,34.7,3831,,,,Female,,,"(47.066528972, -109.424420645)",OWS,OWS1,Q037,VALUE,30,Gender,Female,GEN,FEMALE
32,2011,2011,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,31.1,31.1,,,22.5,44.3,65,,,,,,Asian,"(35.472031356, -97.521070214)",PA,PA1,Q045,VALUE,40,Race/Ethnicity,Asian,RACE,RACEASN
33,2017,2017,MN,Minnesota,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,42.9,42.9,,,33.5,49.9,1983,,35 - 44,,,,,"(46.355648736, -94.794200503)",FV,FV1,Q018,VALUE,27,Age (years),35 - 44,AGEYR,AGEYR3544
34,2015,2015,ME,Maine,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,31.6,31.6,,,29.7,48.7,2106,,55 - 64,,,,,"(45.254228894001, -68.985031336)",PA,PA1,Q043,VALUE,23,Age (years),55 - 64,AGEYR,AGEYR5564
35,2017,2017,WA,Washington,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,23.8,23.8,,,22.8,29.1,3501,,,Some college or technical school,,,,"(47.522278629, -120.47001079)",FV,FV1,Q019,VALUE,53,Education,Some college or technical school,EDU,EDUCOTEC
36,2021,2021,TX,Texas,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,26.4,26.4,,,26.2,26.8,65,,,,,,American Indian/Alaska Native,"(31.827240407000488, -99.42677020599967)",FV,FV1,Q018,VALUE,48,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
37,2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,53.6,53.6,,,53.5,58.4,295,,25 - 34,,,,,"(34.748650124, -92.274490743)",OWS,OWS1,Q037,VALUE,5,Age (years),25 - 34,AGEYR,AGEYR2534
38,2021,2021,VI,Virgin Islands,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,46,46,,,29.5,49,236,,,Some college or technical school,,,,"(18.335765, -64.896335)",OWS,OWS1,Q036,VALUE,78,Education,Some college or technical school,EDU,EDUCOTEC
39,2013,2013,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,38.8,38.8,,,38.2,40.4,879,,,,,"$50,000 - $74,999",,"(43.655950113, -71.50036092)",OWS,OWS1,Q037,VALUE,33,Income,"$50,000 - $74,999",INC,INC5075
40,2017,2017,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,29.3,29.3,,,20.4,52.7,397,,18 - 24,,,,,"(41.56266102, -72.649840952)",PA,PA1,Q043,VALUE,9,Age (years),18 - 24,AGEYR,AGEYR1824
41,2012,2012,NC,North Carolina,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,27.5,27.5,,,25.2,27.9,427,,,,,,American Indian/Alaska Native,"(35.466220975, -79.159250463)",PA,PA1,Q047,VALUE,37,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
42,2012,2012,ND,North Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,47.7,47.7,,,42,48,715,,,,,"$50,000 - $74,999",,"(47.475319779, -100.118421049)",OWS,OWS1,Q037,VALUE,38,Income,"$50,000 - $74,999",INC,INC5075
43,2013,2013,UT,Utah,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,38.4,38.4,,,34.9,44.5,3091,,,High school graduate,,,,"(39.360700171, -111.587130635)",OWS,OWS1,Q037,VALUE,49,Education,High school graduate,EDU,EDUHSGRAD
44,2019,2019,AK,Alaska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,22.4,22.4,,,21.3,23.7,404,,,,,"$50,000 - $74,999",,"(64.84507995700051, -147.72205903599973)",PA,PA1,Q047,VALUE,2,Income,"$50,000 - $74,999",INC,INC5075
45,2012,2012,OH,Ohio,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,40.5,40.5,,,36.4,46.8,1533,,,,,Data not reported,,"(40.060210141, -82.404260056)",OWS,OWS1,Q037,VALUE,39,Income,Data not reported,INC,INCNR
46,2019,2019,DE,Delaware,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.2,36.2,,,27.4,39.4,403,,35 - 44,,,,,"(39.008830667000495, -75.57774116799965)",OWS,OWS1,Q036,VALUE,10,Age (years),35 - 44,AGEYR,AGEYR3544
47,2017,2017,SC,South Carolina,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,48.2,48.2,,,42.2,57.4,80,,,,,,American Indian/Alaska Native,"(33.998821303, -81.045371207)",OWS,OWS1,Q036,VALUE,45,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
48,2015,2015,SC,South Carolina,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,44,44,,,24.1,46.9,1322,,,,,"$50,000 - $74,999",,"(33.998821303, -81.045371207)",PA,PA1,Q045,VALUE,45,Income,"$50,000 - $74,999",INC,INC5075
49,2011,2011,KY,Kentucky,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,37.3,37.3,,,33.4,43.4,51,,,,,,Other,"(37.645970271, -84.774971048)",PA,PA1,Q044,VALUE,21,Race/Ethnicity,Other,RACE,RACEOTH
50,2017,2017,AK,Alaska,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,20.1,20.1,,,20.1,20.2,377,,35 - 44,,,,,"(64.845079957001, -147.722059036)",FV,FV1,Q018,VALUE,2,Age (years),35 - 44,AGEYR,AGEYR3544
51,2017,2017,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,52.4,52.4,,,48,56.3,22622,,18 - 24,,,,,,PA,PA1,Q045,VALUE,59,Age (years),18 - 24,AGEYR,AGEYR1824
52,2011,2011,TN,Tennessee,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,33.5,33.5,,,32.6,37.9,1582,,,,Male,,,"(35.68094058, -85.774490914)",PA,PA1,Q044,VALUE,47,Gender,Male,GEN,MALE
53,2011,2011,HI,Hawaii,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.6,32.6,,,21.9,38.4,3255,,,,Male,,,"(21.304850435, -157.857749403)",OWS,OWS1,Q036,VALUE,15,Gender,Male,GEN,MALE
54,2017,2017,TX,Texas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.3,32.3,,,23.1,46.2,4804,,,,Male,,,"(31.827240407, -99.426770206)",OWS,OWS1,Q036,VALUE,48,Gender,Male,GEN,MALE
55,2013,2013,WA,Washington,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,35.1,35.1,,,24.4,41.4,8724,,,,,,Non-Hispanic White,"(47.522278629, -120.47001079)",PA,PA1,Q045,VALUE,53,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
